,date,Investments,Current Assets,Retirement,Houses,Savings,Available Total,Total
0,2024-12-20,83104.63381577040000000000000,59938.64,626363.601527780,420000,58310.34,201353.6138157704000000000000,1247717.215343550400000000000
1,2024-11-20,83104.63381577040000000000000,59938.64,626288.679003780,420000,58310.34,201353.6138157704000000000000,1247642.292819550400000000000
2,2024-10-20,83104.63381577040000000000000,59938.64,626288.679003780,420000,58310.34,201353.6138157704000000000000,1247642.292819550400000000000
3,2024-09-20,83104.63381577040000000000000,59938.64,626283.309003780,420000,58310.34,201353.6138157704000000000000,1247636.922819550400000000000
4,2024-08-20,81928.95149187280000000000000,119624.96,574323.019007780,420000,38310.34,239864.2514918728000000000000,1234187.270499652800000000000
5,2024-07-20,67073.28149187280000000000000,107960.59,574323.019007780,420000,38310.34,213344.2114918728000000000000,1207667.230499652800000000000
6,2024-06-20,49858.72749187280000000000000,107646.39,574323.019007780,420000,38240.48,195745.5974918728000000000000,1190068.616499652800000000000
7,2024-05-20,49858.72749187280000000000000,128450.32,574323.019007780,420000,18165.74,196474.7874918728000000000000,1190797.806499652800000000000
8,2024-04-20,71519.44749187280000000000000,21655.44,557872.068677280,420000,18097.86,111272.7474918728000000000000,1089144.816169152800000000000
9,2024-03-20,71519.44749187280000000000000,28553.50,556618.753702980,420000,10056.44,110129.3874918728000000000000,1086748.141194852800000000000
10,2024-02-20,71519.44749187280000000000000,30325.23,555882.416628280,420000,10017.94,111862.6174918728000000000000,1087745.034120152800000000000
11,2024-01-20,71519.44749187280000000000000,35748.36,554580.679666680,410000,5000,112267.8074918728000000000000,1076848.487158552800000000000
12,2023-12-20,82137.44749187280000000000000,31789.31,554135.535122680,410000,0,113926.7574918728000000000000,1078062.292614552800000000000
13,2023-11-20,66521.12749187280000000000000,33045.05,552794.326233880,410000,0,99566.17749187280000000000000,1062360.503725752800000000000
14,2023-10-20,44092.55165487280000000000000,33408.09,551403.515909680,410000,0,77500.64165487280000000000000,1038904.157564552800000000000
15,2023-09-20,44092.55165487280000000000000,33699.80,550844.137411980,410000,0,77792.35165487280000000000000,1038636.489066852800000000000
