date,AZ Diversified,AZ Drawdown,AZN,BARC,BGDA,BGGE,Bond,FISCGA,Index Linked Gilt,LGAAHQ,LGAAIJ,LGITI,LGXITA,MDHAAJ,Overseas Equity,RLAAKA,RLFTT,RLUAST,RWAABC,SMT,UK Equity,US Equity Index,VM Bond & Gilt,VM FTSE,VVDVWE
2018-01-01,,10.616,48.865,1.9994,,,5.7988,,10.8119,,,,,,6.3779,,,,,4.546,10.0228,13.9516,,,
2018-01-10,,10.159,48.865,1.9994,,,5.7988,,10.8119,,,,,,6.3779,,,,,4.546,10.0228,13.9516,,,
2018-01-25,,10.159,48.865,1.9994,,,5.7988,,10.8119,,,,,,6.3779,,,,,4.546,10.0228,13.9516,,,
2018-01-31,,10.677032,48.865,1.9994,,,5.7988,,10.8119,,,,,,6.3779,,,,,4.546,10.0228,13.9516,,,
2018-02-01,,10.677032,47.75,2.135,,,5.7988,,10.8119,,,1.349,1.456,5.14138,6.3779,,,,1.0163,4.586,10.0228,13.9516,,,327.520996
2018-02-03,,10.677032,47.75,2.135,,,5.7988,,10.8119,,,1.349,1.456,5.14138,6.3779,,,,1.0163,4.586,10.0228,13.9516,1.298,2.77,327.520996
2018-02-09,,10.616011,47.75,2.135,,,5.7988,,10.8119,,,1.349,1.456,5.14138,6.3779,,,,1.0163,4.586,10.0228,13.9516,1.298,2.77,327.520996
2018-02-10,,10.48,47.75,2.135,,,5.7988,,10.8119,,,1.349,1.456,5.14138,6.3779,,,,1.0163,4.586,10.0228,13.9516,1.298,2.77,327.520996
2018-02-23,,10.48,47.75,2.135,,,5.7988,,10.8119,,,1.349,1.456,5.14138,6.3779,,,,1.0163,4.586,10.0228,13.9516,1.298,2.77,327.520996
2018-03-01,,10.48,48.955,2.065,,,5.7988,,10.8119,,,1.272,1.462,4.81148,6.3779,,,,1.0187,4.4182,10.0228,13.9516,1.298,2.77,314.331992
2018-03-09,,10.48,48.955,2.065,,,5.7988,,10.8119,,,1.272,1.462,4.81148,6.3779,,,,1.0187,4.4182,10.0228,13.9516,1.298,2.77,314.331992
2018-03-11,,10.48,48.955,2.065,,,5.7988,,10.8119,,,1.272,1.462,4.81148,6.3779,,,,1.0187,4.4182,10.0228,13.9516,1.298,2.728,314.331992
2018-03-24,,10.251,48.955,2.065,,,5.7988,,10.8119,,,1.272,1.462,4.81148,6.3779,,,,1.0187,4.4182,10.0228,13.9516,1.298,2.728,314.331992
2018-04-01,,10.251,51.03,2.0725,,,5.7988,,10.8119,,,1.329,1.463,5.05628,6.3779,,,,1.0139,4.746,10.0228,13.9516,1.298,2.728,323.461992
2018-04-05,,10.251,51.03,2.0725,,,5.7988,,10.8119,,,1.329,1.463,5.05628,6.3779,,,,1.0139,4.746,10.0228,13.9516,1.298,2.728,323.461992
2018-04-25,,10.574,51.03,2.0725,,,5.7988,,10.8119,,,1.329,1.463,5.05628,6.3779,,,,1.0139,4.746,10.0228,13.9516,1.298,2.728,323.461992
2018-05-01,,10.574,54.66,1.9724,,,5.7988,,10.8119,,,1.371,1.461,5.32351,6.3779,,,,1.0107,5.1,10.0228,13.9516,1.298,2.728,336.786992
2018-05-08,,10.574,54.66,1.9724,,,5.7988,,10.8119,,,1.371,1.461,5.32351,6.3779,,,,1.0107,5.1,10.0228,13.9516,1.298,2.728,336.786992
2018-05-15,,10.574,54.66,1.9724,,,5.7988,,10.8119,,,1.371,1.461,5.32351,6.3779,,,,1.0107,5.1,10.0228,13.9516,1.298,2.867936,336.786992
2018-05-25,,10.616027157371542,54.66,1.9724,,,5.7988,,10.8119,,,1.371,1.461,5.32351,6.3779,,,,1.0107,5.1,10.0228,13.9516,1.298,2.867936,336.786992
2018-06-01,,10.616027157371542,52.53,1.89,,,5.7988,2.539343,10.8119,0.902159,,1.381,1.46,5.39019,6.3779,,,2.095484,1.0136,5.1666,10.0228,13.9516,1.283976,2.867936,338.866992
2018-06-04,,10.616027157371542,52.53,1.89,,,5.7988,2.539343,10.8119,0.902159,,1.381,1.46,5.39019,6.3779,,,2.095484,1.0136,5.1666,10.0228,13.9516,1.283976,2.867936,338.866992
2018-06-10,,10.616027157371542,52.53,1.89,,,5.7988,2.539343,10.8119,0.902159,,1.381,1.46,5.39019,6.3779,,,2.095484,1.0136,5.1666,10.0228,13.9516,1.283976,2.867936,338.866992
2018-06-15,,10.616027157371542,52.53,1.89,,,5.7988,2.489,10.8119,0.873,,1.381,1.46,5.39019,6.3779,,,2.122,1.0136,5.1666,10.0228,13.9516,1.283976,2.867936,338.866992
2018-06-19,,10.725,52.53,1.89,,,5.7988,2.489,10.8119,0.873,,1.381,1.46,5.39019,6.3779,,,2.122,1.0136,5.1666,10.0228,13.9516,1.281,2.83,338.866992
2018-06-21,,10.709,52.53,1.89,,,5.7766,2.489,10.8038,0.873,,1.381,1.46,5.39019,6.8558,,,2.122,1.0136,5.1666,10.9483,15.2632,1.281,2.83,338.866992
2018-06-25,,10.574015726131682,52.53,1.89,,,5.7766,2.489,10.8038,0.873,,1.381,1.46,5.39019,6.8558,,,2.122,1.0136,5.1666,10.9483,15.2632,1.281,2.83,338.866992
2018-07-01,,10.574015726131682,58.65,1.9396,,,5.7766,2.489,10.8038,0.873,,1.423,1.461,5.55835,6.8558,,,2.122,1.0138,5.345,10.9483,15.2632,1.281,2.83,351.738008
