,date,type,value,commodity.guid,commodity.mnemonic,currency.guid,currency.mnemonic
0,2006-12-21,transaction,12.140286,b267212be0064707a26aaa1016f9f8f4,AZ Diversified,e68c10585ce9470b95a7a71fc9ac8397,GBP
1,2020-09-14,transaction,11.55532212885154061624649860,b267212be0064707a26aaa1016f9f8f4,AZ Diversified,e68c10585ce9470b95a7a71fc9ac8397,GBP
2,2020-10-12,transaction,11.647982,b267212be0064707a26aaa1016f9f8f4,AZ Diversified,e68c10585ce9470b95a7a71fc9ac8397,GBP
3,2020-11-11,transaction,11.829157,b267212be0064707a26aaa1016f9f8f4,AZ Diversified,e68c10585ce9470b95a7a71fc9ac8397,GBP
4,2020-11-17,unknown,11.9377,b267212be0064707a26aaa1016f9f8f4,AZ Diversified,e68c10585ce9470b95a7a71fc9ac8397,GBP
5,2021-01-13,transaction,12.41766109785202863961813842,b267212be0064707a26aaa1016f9f8f4,AZ Diversified,e68c10585ce9470b95a7a71fc9ac8397,GBP
6,2021-02-15,transaction,12.417661,b267212be0064707a26aaa1016f9f8f4,AZ Diversified,e68c10585ce9470b95a7a71fc9ac8397,GBP
7,2021-03-15,transaction,12.21456436931079323797139142,b267212be0064707a26aaa1016f9f8f4,AZ Diversified,e68c10585ce9470b95a7a71fc9ac8397,GBP
8,2021-03-30,transaction,12.254717,b267212be0064707a26aaa1016f9f8f4,AZ Diversified,e68c10585ce9470b95a7a71fc9ac8397,GBP
9,2021-04-07,unknown,12.3788,b267212be0064707a26aaa1016f9f8f4,AZ Diversified,e68c10585ce9470b95a7a71fc9ac8397,GBP
10,2021-05-13,transaction,12.31034482758620689655172414,b267212be0064707a26aaa1016f9f8f4,AZ Diversified,e68c10585ce9470b95a7a71fc9ac8397,GBP
11,2021-06-11,transaction,12.76968973747016706443914081,b267212be0064707a26aaa1016f9f8f4,AZ Diversified,e68c10585ce9470b95a7a71fc9ac8397,GBP
12,2021-07-05,transaction,12.85954381752701080432172869,b267212be0064707a26aaa1016f9f8f4,AZ Diversified,e68c10585ce9470b95a7a71fc9ac8397,GBP
