date,Savings & Investments,Current Assets,3 Thorold Grove,Share Schemes,Retirement
2023-10-24,38405.783314490,52535.60,250000,61792.031800,448056.5803948304
2023-09-24,38405.783314490,49632.13,250000,61142.031800,446893.0503923104
2023-08-24,38405.783314490,46728.66,250000,60492.031800,445697.6407065104
2023-07-24,38405.783314490,43825.18,250000,59842.031800,444556.7527157304
2023-06-24,38405.783314490,43825.18,250000,59842.031800,444557.5678413864
2023-05-24,38405.783314490,38006.99,250000,58542.031800,442250.5995595424
2023-04-24,38405.783314490,32684.27,250000,57778.521800,433137.4491684344
2023-03-24,38405.783314490,34550.76,250000,57728.971350,433135.7048220544
2023-02-24,38405.783314490,35291.87,250000,54080.546074,432406.3417448144
2023-01-24,38405.783314490,32833.45,250000,52639.956074,430217.2900204264
2022-12-24,38405.783314490,40683.48,250000,52638.046074,430200.8612730704
2022-11-24,38405.783314490,39368.43,250000,51333.036074,427970.5973227224
2022-10-24,38405.783314490,39241.50,250000,50542.986074,426822.4926269104
2022-09-24,38405.783314490,43526.99,250000,50525.416074,426780.8160695424
2022-08-24,38405.783314490,40733.39,250000,49065.514638,424908.8588209144
2022-07-24,38405.783314490,41097.07,250000,48406.244638,423841.4555565544
2022-06-24,38405.783314490,44231.34,250000,48389.624638,423813.1066749144
2022-05-24,38405.783314490,41199.92,250000,46961.124638,421563.6465457464
2022-04-24,38405.783314490,35026.20,250000,46300.284638,420460.2240042224
2022-03-24,38405.783314490,34124.91,250000,45620.174638,419436.0120029464
2022-02-24,38405.783314490,35172.91,250000,41691.61,418834.8293134384
2022-01-24,38405.783314490,38263.09,250000,40977.52,417797.1659928064
2021-12-24,38405.783314490,43603.08,250000,40799.06,417859.8394406464
2021-11-24,38405.782712340,26714.58,250000,47320.18,415773.4400267264
2021-10-24,38405.782712340,26141.16,250000,46677.68,414782.2896998064
2021-09-24,38405.782712340,30723.39,250000,46504.44,414808.8950510464
2021-08-24,38405.782712340,32466.19,250000,45141.83,413087.0626695264
2021-07-24,38399.802712340,45820.94,250000,44957.41,413123.8245162064
2021-06-24,38399.802712340,59019.85,250000,43627.78,411006.8718000064
2021-05-24,38399.802712340,60647.73,250000,42787.31,409945.0358156064
2021-04-24,38399.802712340,90780.53,250000,42705.53,409909.7187310464
2021-03-24,38396.812712340,80693.76,250000,41200.80,407760.7319067264
2021-02-24,38427.322712340,80414.46,250000,40406.80,407214.6601828464
2021-01-24,38427.322712340,82326.54,250000,39553.48,406139.9707851264
2020-12-24,39577.282712340,83997.65,250000,39553.48,406083.4424830464
2020-11-24,33697.702712340,62497.30,250000,47228.68,403933.9210299264
2020-10-24,33697.702712340,66361.53,250000,47228.68,403818.0540146064
2020-09-24,43151.662712340,59127.49,250000,45928.68,401604.3025449264
2020-08-24,43151.665261207,53043.33,250000,45278.68,401234.3900336096
2020-07-24,43151.665261207,56197.67,250000,45278.68,401063.5827055776
2020-06-24,43141.993261207,53864.87,250000,43978.68,399038.2060243616
2020-05-24,43115.812230331,56646.22,250000,43978.68,398848.6382049696
2020-04-24,43040.488115491,47752.52,250000,42678.68,396937.1269936576
2020-03-24,43040.488115491,49284.14,250000,41937.38,395803.9023781216
2020-02-24,43040.488115491,49545.59,250000,41080.89,394765.6659774976
2020-01-24,43040.488115491,52320.60,250000,40347.78,393851.0522877696
2019-12-24,43040.488115491,56555.11,250000,40151.03,393732.0836651136
2019-11-24,43000.693527350,53214.46,250000,38816.33,391960.0769346816
2019-10-24,42897.976859840,52844.28,250000,37965.67,390997.5606769056
2019-09-24,42897.976859840,52645.92,250000,37223.13,321668.0258759606
2019-08-24,42886.286859840,55378.86,250000,37137.11,321511.4366242966
2019-07-24,42886.286859840,53785.14,250000,35746.54,319725.3309610166
2019-06-24,42874.474859840,53325.37,250000,31970.03,318386.4393949846
2019-05-24,42711.101490467,56497.82,250000,31970.03,318109.7648366646
2019-04-24,42652.785837494,50980.58,250000,30670.03,307972.536597103
2019-03-24,42716.285837494,50821.47,250000,30020.03,306614.207940831
2019-02-24,42716.285837494,52622.36,250000,29370.03,305225.779964383
2019-01-24,42716.285837494,50544.50,250000,28720.03,303820.985394559
2018-12-24,42716.285837494,54772.36,250000,28720.03,303461.420520735
2018-11-24,42682.169718548,40312.07,250000,35990.03,302096.345222271
2018-10-24,42598.262459738,38056.12,250000,34690.03,299713.421172319
2018-09-24,42598.262459738,38035.20,250000,34040.03,298344.683813375
2018-08-24,42591.252459738,40428.78,250000,33923.29,298041.331567919
2018-07-24,42591.252459738,37853.18,250000,29393.57,295727.873988303
2018-06-24,42579.580459738,38471.86,250000,28743.57,294563.648622319
2018-05-24,19600.707683217,44528.83,250000,36289.85,293381.422820591
2018-04-24,9557.210385098,58842.56,250000,45071.31,292217.267878847
2018-03-24,9551.740385098,60861.26,250000,45071.31,291890.405992911
2018-02-24,9551.740385098,61147.25,250000,44421.31,290715.814178799
2018-01-24,9551.740385098,58834.56,250000,43123.01,157838.254347055
